"","Name","OncoTree1","OncoTree2","Age","PrimaryOrMetastasis","SampleCollectionSite","Sex","Top_Sensitive_Drugs","Bottom_Resistant_Drugs","nb_drugs"
"321","Hs 600.T","Skin","Melanoma (MEL)",NA,"Primary","fibroblast","Male",NA,NA,NA
"322","Hs 604.T","Lymph","Hodgkin's Lymphoma (HL)",21,"","lymph node","Male",NA,NA,NA
"323","Hs 606.T","Breast","Breast Carcinoma (BRCA)",44,"","fibroblast","Female",NA,NA,NA
"324","Hs 611.T","Lymph","Hodgkin's Lymphoma (HL)",48,"","haematopoietic and lymphoid tissue","Female","leptomycin B ; CR-1-31B ; ouabain ; omacetaxine mepesuccinate (FDA) ; vincristine (FDA) ; SB-743921 ; dinaciclib ; docetaxel (FDA) ; paclitaxel (FDA) ; GSK461364","AGK-2 ; BRD-K51831558 ; vemurafenib (FDA) ; BRD-K55116708 ; CID-5951923 ; BRD8958 ; SR1001 ; CD-1530 ; VAF-347 ; BRD-K64610608","401"
"325","Hs 616.T","Lymph","Hodgkin's Lymphoma (HL)",16,"","fibroblast","Male",NA,NA,NA
"326","Hs 618.T","Lung","Non-Small Cell Lung Cancer (NSCLC)",60,"Primary","fibroblast","Female",NA,NA,NA
"327","Hs 675.T","Bowel",NA,NA,"","fibroblast","Male",NA,NA,NA
"328","Hs 683","Brain_CNS",NA,76,"Primary","central nervous system","Male","SB-743921 ; docetaxel (FDA) ; paclitaxel (FDA) ; ouabain ; brefeldin A ; vincristine (FDA) ; panobinostat (FDA) ; leptomycin B ; omacetaxine mepesuccinate (FDA) ; methotrexate (FDA)","ML334 diastereomer ; BRD-K50799972 ; ML258 ; BRD-K52037352 ; BRD-K17060750 ; dexamethasone ; BRD-K16147474 ; BRD-K37390332 ; NSC 74859 ; BRD-K41597374","414"
"329","Hs 688(A).T","Skin","Melanoma (MEL)",69,"Primary","fibroblast","Male","1S-3R-RSL-3 ; ouabain ; avicin D ; ML162 ; ML210 ; omacetaxine mepesuccinate (FDA) ; PI-103 ; NVP-TAE684 ; SMER-3 ; BRD-K26531177","cytarabine hydrochloride ; WAY-362450 ; BRD-K64610608 ; GW-843682X ; istradefylline ; MLN2238 ; dexamethasone ; ABT-199 ; Ch-55 ; 16-beta-bromoandrosterone","404"
"330","Hs 695T","Skin","Melanoma (MEL)",26,"Metastatic","lymph node","Male",NA,NA,NA
"331","Hs 698.T","Bowel","Colorectal Adenocarcinoma (COADREAD)",70,"Metastatic","soft tissue","Male",NA,NA,NA
"332","Hs 706.T","Bone","Giant Cell Tumor of Bone (GCTB) sarcoma",16,"","fibroblast","Female",NA,NA,NA
"333","Hs 729","Soft_Tissue","Rhabdomyosarcoma (RMS)",74,"Primary","Unknown","Male","ouabain ; leptomycin B ; CR-1-31B ; omacetaxine mepesuccinate (FDA) ; 1S-3R-RSL-3 ; paclitaxel (FDA) ; vincristine (FDA) ; doxorubicin (FDA) ; panobinostat (FDA) ; ML162","BRD-K55116708 ; BRD8958 ; GSK525762A ; Compound 1541A ; MI-1 ; SJ-172550 ; IC-87114 ; ML203 ; BRD-K16147474 ; BRD-K50799972","415"
"334","Hs 737.T","Bone","Giant Cell Tumor of Bone (GCTB)",10,"","fibroblast","Female",NA,NA,NA
"335","Hs 739.T","Breast","Breast Carcinoma (BRCA)",52,"","fibroblast","Female",NA,NA,NA
"336","Hs 742.T","Breast","Breast Carcinoma (BRCA)",71,"","fibroblast","Female",NA,NA,NA
"337","Hs 746T","Esophagus_Stomach",NA,74,"Metastatic","soft tissue","Male","ouabain ; foretinib (CTR) ; CR-1-31B ; leptomycin B ; dinaciclib ; methotrexate (FDA) ; omacetaxine mepesuccinate (FDA) ; AZD8055 (CTR) ; cucurbitacin I ; SR-II-138A","dexamethasone ; BRD-K55116708 ; crizotinib (FDA) ; chlorambucil (FDA) ; BRD8958 ; RG-108 ; BRD-K16147474 ; BRD-K37390332 ; DNMDP ; BRD-K17060750","420"
"338","Hs 751.T","Lymph","Hodgkin's Lymphoma (HL)",19,"","fibroblast","Male",NA,NA,NA
"339","Hs 766T","Pancreas","Pancreatic Adenocarcinoma (PAAD)",64,"Metastatic","lymph node","Male","omacetaxine mepesuccinate (FDA) ; NVP-BEZ235 ; CR-1-31B ; ouabain ; selumetinib (FDA) ; trametinib (FDA) ; SNX-2112 ; panobinostat (FDA) ; sirolimus (FDA) ; AZD8055 (CTR)","tivozanib (CTR) ; BRD-K13999467 ; Ki8751 ; nilotinib (FDA) ; ABT-199 ; avrainvillamide ; vemurafenib (FDA) ; ABT-737 ; BRD8958 ; AGK-2","417"
"340","Hs 819.T","Bone","Chondrosarcoma (CHS)",60,"","fibroblast","Male",NA,NA,NA
"341","Hs 821.T","Bone","Giant Cell Tumor of Bone (GCTB)",31,"Primary","fibroblast","Female",NA,NA,NA
"342","Hs 822.T","Bone","Fibroblast",9,"Primary","fibroblast","Female","1S-3R-RSL-3 ; ML162 ; ML210 ; ouabain ; avicin D ; SMER-3 ; bardoxolone methyl ; obatoclax (CTR) ; vincristine (FDA) ; omacetaxine mepesuccinate (FDA)","BRD-K17060750 ; ABT-737 ; SU11274 ; paclitaxel (FDA) ; tanespimycin (CTR) ; SB-431542 ; CHIR-99021 ; alvocidib (CTR) ; VU0155056 ; SB-525334","411"
"343","Hs 834.T","Skin","Melanoma (MEL)",27,"Metastatic","lymph node","Female",NA,NA,NA
"344","Hs 839.T","Skin","Melanoma (MEL)",42,"","fibroblast","Female","1S-3R-RSL-3 ; ML162 ; dasatinib (FDA) ; ML210 ; ouabain ; omacetaxine mepesuccinate (FDA) ; foretinib (CTR) ; AZD7762 (CTR) ; alvocidib (CTR) ; doxorubicin (FDA)","pevonedistat (CTR) ; EX-527 ; erismodegib ; bendamustine (FDA) ; manumycin A ; RG-108 ; betulinic acid ; CAY10618 ; BRD-K51490254 ; ML050","418"
"345","Hs 840.T","Head_Neck",NA,7,"","fibroblast","Male",NA,NA,NA
"346","Hs 852.T","Skin","Melanoma (MEL)",53,"Primary","skin","Male","SB-743921 ; leptomycin B ; 1S-3R-RSL-3 ; panobinostat (FDA) ; ouabain ; doxorubicin (FDA) ; BI-2536 (CTR) ; AZD7762 (CTR) ; birinapant ; IC-87114","fumonisin B1 ; Ki8751 ; imatinib (FDA) ; vemurafenib (FDA) ; AGK-2 ; ciclopirox ; SU11274 ; abiraterone (FDA) ; sorafenib ; DBeQ","395"
"347","Hs 863.T","Bone","Fibroblast",5,"","fibroblast","Female",NA,NA,NA
"348","Hs 870.T","Bone","Osteosarcoma (OS)",22,"","fibroblast","Male",NA,NA,NA
"349","Hs 888.T","Bone","Osteosarcoma (OS)",20,"","fibroblast","Male","ouabain ; 1S-3R-RSL-3 ; AZD8055 (CTR) ; ML210 ; ML162 ; panobinostat (FDA) ; omacetaxine mepesuccinate (FDA) ; narciclasine ; AZD7762 (CTR) ; avicin D","VAF-347 ; isonicotinohydroxamic acid ; pifithrin-mu ; EX-527 ; GDC-0879 ; spautin-1 ; OSI-930 ; BRD-K19103580 ; VU0155056 ; SRT-1720","409"
"350","Hs 895.T","Skin","Melanoma (MEL)",48,"Metastatic","fibroblast","Female","ouabain ; panobinostat (FDA) ; 1S-3R-RSL-3 ; AT13387 (CTR) ; ML162 ; AZD8055 (CTR) ; omacetaxine mepesuccinate (FDA) ; brefeldin A ; AZD7762 (CTR) ; dasatinib (FDA)","birinapant ; BRD8958 ; SB-431542 ; palmostatin B ; BRD-K04800985 ; BRD-K02492147 ; pifithrin-mu ; chlorambucil (FDA) ; brivanib ; NSC 74859","414"
"351","Hs 934.T","Skin","Melanoma (MEL)",58,"Primary","fibroblast","Female","1S-3R-RSL-3 ; ML162 ; ML210 ; SMER-3 ; dasatinib (FDA) ; ouabain ; PI-103 ; docetaxel (FDA) ; obatoclax (CTR) ; BRD-K26531177","ruxolitinib ; linsitinib (CTR) ; PYR-41 ; BRD-K11533227 ; purmorphamine ; KH-CB19 ; ISOX ; vorapaxar ; ML311 ; GW-843682X","281"
"352","Hs 936.T","Skin","Melanoma (MEL)",NA,"Primary","skin","Male","panobinostat (FDA) ; leptomycin B ; SB-743921 ; CR-1-31B ; omacetaxine mepesuccinate (FDA) ; doxorubicin (FDA) ; ouabain ; SR-II-138A ; BI-2536 (CTR) ; AZD7762 (CTR)","BRD9876 ; GSK-3 inhibitor IX ; azacitidine (FDA) ; myricetin ; DBeQ ; silmitasertib ; BRD-K64610608 ; purmorphamine ; NPC-26 ; axitinib (FDA)","406"
"353","Hs 939.T","Skin","Melanoma (MEL)",24,"Primary","skin","Female",NA,NA,NA
"354","Hs 940.T","Skin","Melanoma (MEL)",57,"Primary","fibroblast","Male","ouabain ; omacetaxine mepesuccinate (FDA) ; doxorubicin (FDA) ; PF-3758309 ; obatoclax (CTR) ; CR-1-31B ; birinapant ; AZD7762 (CTR) ; pluripotin ; AZD8055 (CTR)","Merck60 ; BRD-K13999467 ; BRD-K61166597 ; pifithrin-mu ; BRD-K17060750 ; GDC-0879 ; decitabine (FDA) ; tacedinaline ; Repligen 136 ; SU11274","400"
"355","Hs 944.T","Skin","Melanoma (MEL)",51,"Metastatic","skin","Male","leptomycin B ; SB-743921 ; oligomycin A ; paclitaxel (FDA) ; GSK461364 ; doxorubicin (FDA) ; clofarabine (FDA) ; panobinostat (FDA) ; AZD7762 (CTR) ; obatoclax (CTR)","BRD-K64610608 ; isonicotinohydroxamic acid ; myricetin ; parthenolide ; ML334 diastereomer ; BRD-K09344309 ; azacitidine (FDA) ; EX-527 ; daporinad ; abiraterone (FDA)","405"
"356","HSC-2","Head_Neck",NA,69,"Metastatic","upper aerodigestive tract","Male","oligomycin A ; leptomycin B ; dinaciclib ; CR-1-31B ; SB-743921 ; BRD-K97651142 ; vincristine (FDA) ; ouabain ; SR-II-138A ; dasatinib (FDA)","ML334 diastereomer ; MI-1 ; BRD-K80183349 ; barasertib ; BRD-K09587429 ; ML320 ; BRD-K17060750 ; veliparib (CTR) ; UNC0321 ; palmostatin B","417"
"357","HSC-3","Head_Neck",NA,64,"Metastatic","upper aerodigestive tract","Male","leptomycin B ; neopeltolide ; oligomycin A ; ouabain ; 1S-3R-RSL-3 ; CR-1-31B ; panobinostat (FDA) ; BRD-K97651142 ; ML210 ; gemcitabine (FDA)","dexamethasone ; BRD-K78574327 ; BRD-K51490254 ; BRD-K64610608 ; BRD-K19103580 ; BRD-K45681478 ; BRD-K41334119 ; BRD-K14844214 ; QW-BI-011 ; EX-527","403"
"358","HSC-4","Head_Neck",NA,64,"Metastatic","upper aerodigestive tract","Male","oligomycin A ; leptomycin B ; ouabain ; doxorubicin (FDA) ; panobinostat (FDA) ; topotecan (FDA) ; afatinib (FDA) ; austocystin D ; CR-1-31B ; AZD7762 (CTR)","GDC-0879 ; CCT036477 ; darinaparsin ; palmostatin B ; temozolomide ; pitstop2 ; KH-CB19 ; RG-108 ; BRD-K02492147 ; BRD-K09344309","409"
"359","HT","Lymph","Non-Hodgkin's Lymphoma (NHL)",70,"Metastatic","ascites","Male","leptomycin B ; SB-743921 ; panobinostat (FDA) ; vincristine (FDA) ; CR-1-31B ; GSK461364 ; oligomycin A ; SR-II-138A ; BI-2536 (CTR) ; daporinad","nelarabine (FDA) ; QS-11 ; BRD-K64610608 ; EX-527 ; procarbazine (FDA) ; BRD-K34099515 ; BRD-K24690302 ; AC55649 ; zebularine ; ML203","397"
"360","HT-1080","Soft_Tissue","Fibrosarcoma (FIBS)",35,"Metastatic","soft tissue","Male","oligomycin A ; SB-743921 ; vincristine (FDA) ; docetaxel (FDA) ; leptomycin B ; 1S-3R-RSL-3 ; paclitaxel (FDA) ; ouabain ; BI-2536 (CTR) ; panobinostat (FDA)","dexamethasone ; BIRB-796 ; nilotinib (FDA) ; lenvatinib ; BRD-K09587429 ; AGK-2 ; MLN2480 ; TGX-221 ; myricetin ; BRD-K14844214","417"
"361","HT-1197","Bladder_Urinary_Tract",NA,44,"Primary","urinary tract","Male","leptomycin B ; CR-1-31B ; oligomycin A ; ouabain ; KPT185 ; dinaciclib ; panobinostat (FDA) ; SR-II-138A ; DNMDP ; omacetaxine mepesuccinate (FDA)","GDC-0879 ; procarbazine (FDA) ; barasertib ; NSC 74859 ; epigallocatechin-3-monogallate ; palmostatin B ; GANT-61 ; birinapant ; Repligen 136 ; BRD-K85133207","398"
"362","HT-1376","Bladder_Urinary_Tract","Bladder Urothelial Carcinoma (BLCA)",58,"Primary","urinary tract","Female","leptomycin B ; panobinostat (FDA) ; ouabain ; CAY10618 ; dasatinib (FDA) ; AZD7762 (CTR) ; bardoxolone methyl ; SCH-79797 ; CR-1-31B ; epigallocatechin-3-monogallate","RG-108 ; bendamustine (FDA) ; AA-COCF3 ; BRD-K51490254 ; NSC 74859 ; XL765 ; BIRB-796 ; serdemetan ; isonicotinohydroxamic acid ; GDC-0879","405"
"363","HT-144","Skin","Melanoma (MEL)",29,"Metastatic","skin","Male","leptomycin B ; dinaciclib ; trametinib (FDA) ; obatoclax (CTR) ; panobinostat (FDA) ; omacetaxine mepesuccinate (FDA) ; alvocidib (CTR) ; dabrafenib (FDA) ; SB-743921 ; CR-1-31B","palmostatin B ; daporinad ; temozolomide ; WAY-362450 ; UNC0321 ; CAY10576 ; BRD-K55116708 ; zebularine ; NSC19630 ; barasertib","420"
"364","HT-29","Bowel","Colorectal Adenocarcinoma (COADREAD)",44,"Primary","large intestine","Female","panobinostat (FDA) ; 1S-3R-RSL-3 ; obatoclax (CTR) ; BRD-K63431240 ; MLN2238 ; SR-II-138A ; paclitaxel (FDA) ; methotrexate (FDA) ; ML162 ; bardoxolone methyl","triptolide ; darinaparsin ; tretinoin (FDA) ; cytarabine hydrochloride ; GSK525762A ; daporinad ; sirolimus (FDA) ; tigecycline ; BRD-K28456706 ; BRD-K92856060","406"
"365","HT115","Bowel",NA,NA,"Primary","Colon","Unknown","SB-743921 ; panobinostat (FDA) ; GSK461364 ; ouabain ; austocystin D ; rigosertib ; BI-2536 (CTR) ; neratinib ; narciclasine ; SR-II-138A","16-beta-bromoandrosterone ; procarbazine (FDA) ; bendamustine (FDA) ; Ki8751 ; PLX-4720 ; pifithrin-alpha ; BRD-K92856060 ; OSI-930 ; BRD4132 ; temozolomide","379"
"366","HT55","Bowel","Colorectal Adenocarcinoma (COADREAD)",NA,"Primary","large intestine","Unknown","leptomycin B ; brefeldin A ; CR-1-31B ; austocystin D ; panobinostat (FDA) ; SB-743921 ; afatinib (FDA) ; neratinib ; SR-II-138A ; oligomycin A","betulinic acid ; ABT-199 ; JW-480 ; NPC-26 ; pifithrin-alpha ; palmostatin B ; pitstop2 ; BRD-K37390332 ; BRD-K14844214 ; BRD-K33199242","407"
"367","HTK-","Blood","Multiple Myeloma (MM)",13,"Unknown","Unknown","Female",NA,NA,NA
"368","HuCCT1","Biliary_Tract",NA,56,"Metastatic","ascites","Male","leptomycin B ; ouabain ; YM-155 (CTR) ; methotrexate (FDA) ; MLN2238 ; narciclasine ; SMER-3 ; CR-1-31B ; bardoxolone methyl ; erastin","BRD-K88742110 ; ML320 ; dexamethasone ; AGK-2 ; Repligen 136 ; panobinostat (FDA) ; BRD-K02492147 ; BRD-K34485477 ; staurosporine ; BRD-K17060750","358"
"369","HuG1-N","Esophagus_Stomach",NA,55,"Metastatic","stomach","Male","SB-743921 ; leptomycin B ; paclitaxel (FDA) ; MLN2238 ; docetaxel (FDA) ; dinaciclib ; methotrexate (FDA) ; CR-1-31B ; GSK461364 ; panobinostat (FDA)","IC-87114 ; SU11274 ; chlorambucil (FDA) ; pevonedistat (CTR) ; procarbazine (FDA) ; vemurafenib (FDA) ; erismodegib ; PRL-3 inhibitor I ; CBB-1007 ; palmostatin B","411"
"370","huH-1","Liver","Hepatocellular Carcinoma (HCC)",53,"Primary","liver","Male","ouabain ; methotrexate (FDA) ; panobinostat (FDA) ; SB-743921 ; BI-2536 (CTR) ; AZD7762 (CTR) ; dinaciclib ; leptomycin B ; CR-1-31B ; alvocidib (CTR)","ML320 ; BRD-K88742110 ; tretinoin (FDA) ; ML006 ; WAY-362450 ; MI-1 ; BRD-K51831558 ; isonicotinohydroxamic acid ; temozolomide ; pitstop2","403"
"371","HuH-6","Liver","Hepatoblastoma (LIHB)",1,"Primary","liver","Male","panobinostat (FDA) ; oligomycin A ; ouabain ; vincristine (FDA) ; SNS-032 ; CR-1-31B ; omacetaxine mepesuccinate (FDA) ; brefeldin A ; doxorubicin (FDA) ; leptomycin B","VAF-347 ; bendamustine (FDA) ; AT-406 ; BRD-K88742110 ; parthenolide ; SJ-172550 ; JW-55 ; PYR-41 ; CIL70 ; zebularine","333"
"372","HuH-7","Liver","Hepatocellular Carcinoma (HCC)",57,"Primary","liver","Male",NA,NA,NA
"373","HuH28","Biliary_Tract",NA,37,"Primary","biliary tract","Female","leptomycin B ; panobinostat (FDA) ; ouabain ; 1S-3R-RSL-3 ; CR-1-31B ; dasatinib (FDA) ; ML210 ; ML162 ; bardoxolone methyl ; pluripotin","BRD9876 ; ML031 ; EX-527 ; AM-580 ; ifosfamide (FDA) ; BRD-K85133207 ; ML203 ; nelarabine (FDA) ; imatinib (FDA) ; QS-11","382"
"374","HuNS1","Blood","Multiple Myeloma (MM)",NA,"","haematopoietic and lymphoid tissue","Male","CR-1-31B ; leptomycin B ; SB-743921 ; docetaxel (FDA) ; gemcitabine (FDA) ; panobinostat (FDA) ; ouabain ; paclitaxel (FDA) ; dinaciclib ; SR-II-138A","BRD-K48477130 ; BRD-A05715709 ; pitstop2 ; GDC-0879 ; cytochalasin B ; BRD-A02303741 ; BIRB-796 ; BMS-270394 ; SJ-172550 ; importazole","245"
"375","HUP-T3","Pancreas",NA,66,"Metastatic","ascites","Male","ouabain ; CR-1-31B ; methotrexate (FDA) ; omacetaxine mepesuccinate (FDA) ; dinaciclib ; dasatinib (FDA) ; brefeldin A ; SR-II-138A ; panobinostat (FDA) ; leptomycin B","bexarotene ; KU-60019 ; semagacestat ; vemurafenib (FDA) ; lomeguatrib ; BRD-K55116708 ; SRT-1720 ; ciclosporin ; ML320 ; BRD8958","420"
"376","HUP-T4","Pancreas",NA,60,"Metastatic","ascites","Male","leptomycin B ; oligomycin A ; dasatinib (FDA) ; SB-743921 ; CR-1-31B ; selumetinib (FDA) ; panobinostat (FDA) ; PD318088 ; paclitaxel (FDA) ; 1S-3R-RSL-3","nelarabine (FDA) ; CID-5951923 ; cyclophosphamide (FDA) ; hyperforin ; EX-527 ; PRL-3 inhibitor I ; BRD9876 ; brivanib ; BRD-K64610608 ; myricetin","403"
"377","HuT 102","Lymph","Non-Hodgkin's Lymphoma (NHL)",28,"","lymph node","Male",NA,NA,NA
"378","HuT 78","Lymph","Non-Hodgkin's Lymphoma (NHL)",53,"","haematopoietic and lymphoid tissue","Male","leptomycin B ; panobinostat (FDA) ; SB-743921 ; trametinib (FDA) ; BI-2536 (CTR) ; GSK461364 ; selumetinib (FDA) ; CR-1-31B ; paclitaxel (FDA) ; ouabain","VAF-347 ; SR1001 ; PLX-4720 ; betulinic acid ; AGK-2 ; HLI 373 ; olaparib (FDA) ; BCL-LZH-4 ; BRD-K17060750 ; dacarbazine (FDA)","380"
"379","HuTu 80","Bowel","Small Bowel Cancer (SBC)",53,"Primary","small intestine","Male",NA,NA,NA
"380","IA-LM","Lung","Non-Small Cell Lung Cancer (NSCLC)",68,"Metastatic","skin","Male","niclosamide ; 1S-3R-RSL-3 ; ouabain ; ML162 ; ML210 ; panobinostat (FDA) ; YM-155 (CTR) ; AZD8055 (CTR) ; oligomycin A ; leptomycin B","GDC-0879 ; procarbazine (FDA) ; BRD-K88742110 ; BRD1835 ; gefitinib (FDA) ; brivanib ; SRT-1720 ; mitomycin (FDA) ; AZD7545 ; IC-87114","340"
"381","IGR-1","Skin","Melanoma (MEL)",42,"Metastatic","lymph node","Male","ouabain ; panobinostat (FDA) ; dinaciclib ; SB-743921 ; omacetaxine mepesuccinate (FDA) ; leptomycin B ; vincristine (FDA) ; CR-1-31B ; alvocidib (CTR) ; GSK461364","tacrolimus ; indisulam ; Ki8751 ; itraconazole (CTR) ; BCL-LZH-4 ; VAF-347 ; pandacostat ; PF-4800567 hydrochloride ; CID-5951923 ; BRD-K64610608","413"
"382","IGR-37","Skin","Melanoma (MEL)",26,"Metastatic","lymph node","Male","dinaciclib ; DNMDP ; BRD-K99006945 ; vincristine (FDA) ; docetaxel (FDA) ; BI-2536 (CTR) ; ouabain ; omacetaxine mepesuccinate (FDA) ; leptomycin B ; paclitaxel (FDA)","L-685458 ; vorapaxar ; SKI-II ; SZ4TA2 ; BRD5468 ; BMS-195614 ; indisulam ; ML203 ; BRD-K19103580 ; istradefylline","421"
"383","IGR-39","Skin","Melanoma (MEL)",26,"Primary","skin","Male","ouabain ; docetaxel (FDA) ; dasatinib (FDA) ; leptomycin B ; 1S-3R-RSL-3 ; SB-743921 ; parbendazole ; ML210 ; zebularine ; doxorubicin (FDA)","NSC 74859 ; SZ4TA2 ; procarbazine (FDA) ; elocalcitol ; CBB-1007 ; AZD7545 ; pifithrin-alpha ; pifithrin-mu ; linsitinib (CTR) ; AGK-2","412"
"384","IGROV1","Ovary","Ovarian Epithelial Tumor (OVT)",47,"Primary","ovary","Female","leptomycin B ; panobinostat (FDA) ; AZD4547 ; 1S-3R-RSL-3 ; doxorubicin (FDA) ; AZD8055 (CTR) ; GSK461364 ; ouabain ; vincristine (FDA) ; CR-1-31B","BRD8958 ; BRD-K64610608 ; temozolomide ; vemurafenib (FDA) ; parthenolide ; BRD-K92856060 ; BRD-A02303741 ; BRD9876 ; CID-5951923 ; isonicotinohydroxamic acid","407"
"385","IM95","Esophagus_Stomach","Esophagogastric Adenocarcinoma (EGC)",63,"Primary","stomach","Male","SB-743921 ; paclitaxel (FDA) ; dinaciclib ; docetaxel (FDA) ; vincristine (FDA) ; CR-1-31B ; panobinostat (FDA) ; leptomycin B ; ouabain ; omacetaxine mepesuccinate (FDA)","bexarotene ; AC55649 ; olaparib (FDA) ; myricetin ; BRD-K51831558 ; ML334 diastereomer ; vemurafenib (FDA) ; BRD8899 ; GSK4112 ; BRD-K28456706","415"
"386","IMR-32","Brain_CNS","Embryonal Tumor (EMBT)",1,"Metastatic","abdomen","Male","SB-743921 ; paclitaxel (FDA) ; docetaxel (FDA) ; panobinostat (FDA) ; KX2-391 ; leptomycin B ; daporinad ; BI-2536 (CTR) ; gemcitabine (FDA) ; cucurbitacin I","AA-COCF3 ; BRD-K52037352 ; BRD1378 ; erismodegib ; PLX-4720 ; hyperforin ; BRD8899 ; BRD-K33199242 ; sildenafil ; GSK4112","310"
"387","INA6","Lymph",NA,80,"","pleural effusion","Male",NA,NA,NA
"388","IOMM-Lee","Brain_CNS","Meningothelial Tumor (MNGT)",61,"Primary","central nervous system","Male",NA,NA,NA
"389","IPC-298","Skin","Melanoma (MEL)",64,"Primary","skin","Female","leptomycin B ; selumetinib (FDA) ; PD318088 ; panobinostat (FDA) ; ouabain ; doxorubicin (FDA) ; CR-1-31B ; omacetaxine mepesuccinate (FDA) ; methotrexate (FDA) ; BRD-K63431240","betulinic acid ; CI-976 ; vemurafenib (FDA) ; UNC0321 ; CID-5951923 ; AGK-2 ; BIRB-796 ; EX-527 ; PRL-3 inhibitor I ; KH-CB19","404"
"390","Ishikawa (Heraklio) 02 ER-","Uterus","Endometrial Carcinoma (UCEC)",39,"Primary","endometrium","Female","oligomycin A ; SB-743921 ; methotrexate (FDA) ; paclitaxel (FDA) ; leptomycin B ; ouabain ; BI-2536 (CTR) ; GSK461364 ; panobinostat (FDA) ; BRD-K97651142","manumycin A ; darinaparsin ; QW-BI-011 ; BRD-K29313308 ; AGK-2 ; tigecycline ; vemurafenib (FDA) ; BRD-K78574327 ; fumonisin B1 ; BIRB-796","401"
"391","IST-MES1","Mesothelium","Mesothelioma (MESO)",70,"Primary","pleural effusion","Female","ouabain ; panobinostat (FDA) ; dasatinib (FDA) ; leptomycin B ; doxorubicin (FDA) ; methotrexate (FDA) ; omacetaxine mepesuccinate (FDA) ; brefeldin A ; BI-2536 (CTR) ; pluripotin","bexarotene ; Repligen 136 ; CD-1530 ; BRD-K51831558 ; BRD-K28456706 ; BRD-K33199242 ; palmostatin B ; NSC19630 ; pitstop2 ; SR1001","408"
"392","IST-MES2","Mesothelium","Mesothelioma (MESO)",71,"","pleural effusion","Male",NA,NA,NA
"393","J82","Bladder_Urinary_Tract","Bladder Urothelial Carcinoma (BLCA)",58,"Primary","urinary tract","Male","oligomycin A ; leptomycin B ; BRD-K97651142 ; methotrexate (FDA) ; dinaciclib ; bardoxolone methyl ; panobinostat (FDA) ; topotecan (FDA) ; ouabain ; CR-1-31B","bexarotene ; GDC-0879 ; GSK4112 ; BRD-K55116708 ; BRD-K51831558 ; navitoclax (CTR) ; BRD-K90370028 ; BRD-K28456706 ; SJ-172550 ; BRD8899","417"
"394","JeKo-1","Lymph","Non-Hodgkin's Lymphoma (NHL)",78,"","haematopoietic and lymphoid tissue","Female","SB-743921 ; ouabain ; dinaciclib ; docetaxel (FDA) ; paclitaxel (FDA) ; leptomycin B ; BI-2536 (CTR) ; panobinostat (FDA) ; vincristine (FDA) ; GSK461364","BRD8958 ; procarbazine (FDA) ; IC-87114 ; NPC-26 ; betulinic acid ; erlotinib (FDA) ; myricetin ; vemurafenib (FDA) ; BRD1378 ; BRD5468","405"
"395","JH-EsoAd1","Esophagus_Stomach","Esophagogastric Adenocarcinoma (EGC)",66,"","oesophagus","Male",NA,NA,NA
"396","JHH-1","Liver","Hepatocellular Carcinoma (HCC)",50,"Primary","liver","Male","panobinostat (FDA) ; ouabain ; leptomycin B ; dinaciclib ; CAY10618 ; daporinad ; brefeldin A ; 1S-3R-RSL-3 ; ML162 ; apicidin","semagacestat ; topotecan (FDA) ; ML050 ; tamatinib ; C6-ceramide ; BRD-K16147474 ; BRD-K55116708 ; I-BET151 ; MI-1 ; nilotinib (FDA)","406"
"397","JHH-2","Liver","Hepatocellular Carcinoma (HCC)",57,"Metastatic","ascites","Male","oligomycin A ; panobinostat (FDA) ; leptomycin B ; ouabain ; 1S-3R-RSL-3 ; ML210 ; cucurbitacin I ; dasatinib (FDA) ; ML162 ; BRD-K97651142","Compound 1541A ; AZ-3146 ; bexarotene ; BRD-K04800985 ; SRT-1720 ; fluorouracil (FDA) ; VAF-347 ; BRD-K42260513 ; BRD-K02492147 ; procarbazine (FDA)","419"
"398","JHH-4","Liver","Hepatocellular Carcinoma (HCC)",51,"Primary","liver","Male","oligomycin A ; panobinostat (FDA) ; ouabain ; SB-743921 ; docetaxel (FDA) ; obatoclax (CTR) ; KX2-391 ; dasatinib (FDA) ; leptomycin B ; GSK461364","decitabine (FDA) ; WAY-362450 ; ML006 ; BRD-K28456706 ; TG-100-115 ; Compound 1541A ; ML258 ; BRD-K48477130 ; BRD-K55116708 ; BRD-K04800985","418"
"399","JHH-5","Liver","Hepatocellular Carcinoma (HCC)",50,"Primary","liver","Male","oligomycin A ; trametinib (FDA) ; BI-2536 (CTR) ; panobinostat (FDA) ; SB-743921 ; GSK461364 ; topotecan (FDA) ; vincristine (FDA) ; afatinib (FDA) ; ML210","BRD-K64610608 ; SKI-II ; myricetin ; BRD-K99006945 ; ML203 ; PLX-4720 ; sildenafil ; BCL-LZH-4 ; dacarbazine (FDA) ; RG-108","414"
